English,Akuapem Twi
It's time to go home.,Bere aso sɛ wɔkɔ fie.
Spanish is spoken in Mexico.,Wɔka Spania kasa wɔ Mexico.
The dog ran after the cat.,ɔkraman no tuu  mmirika dii okra no akyi.
She lives in a large house.,Ɔte ofie kɛse bi mu.
What time do you get up on Sundays?,Bere bɛn na wosɔre Kwasida?
I often look up words in that dictionary.,Metaa hwɛ saa nsɛm no wɔ saa nsɛm asekyerɛ nhoma no mu.
Kwasi died from TB.,TB kum Kwasi.
This movie is highly controversial.,Saa sini yi ho asɛm haw adwene yiye.
I persuaded her to make herself comfortable.,Meka kyerɛɛ no sɛ ɔmma ne bo ntɔ ne yam.
I'd appreciate it.,M'ani begye ho.
Here he is!,Ɛha ni!
I'm not going to tell you my name.,Merenka me din nkyerɛ wo.
Hold me close.,Ma me kwan ma memmɛn no.
Please make five copies of this document.,"Yɛsrɛ wo, kyerɛw nhoma yi nnum."
He was young and innocent.,Ná ɔyɛ abofra a ne ho nni asɛm.
Don't be rude.,Nyɛ obi a ommu ade.
I have nothing to do this afternoon.,Minni biribiara yɛ saa awia yi.
Kwasi contacted Abena.,Kwasi hyiaa Abena.
I really want to spend some time alone with Kwasi.,Mepɛ sɛ me nkutoo me ne Kwasi bɔ.
These green leaves turn red or yellow in autumn.,Saa nhaban momono yi dan kɔkɔɔ anaa akokɔsrade wɔ otwabere mu.
Many wives complain about high prices.,Ɔyerenom pii nwiinwii wɔ nneɛma bo akɛse ho.
You're a good man.,Woyɛ ɔberima pa.
Are you going to the party today?,So worekɔ apontow no ase nnɛ?
Kwasi is sitting by the campfire.,Kwasi te abrannaa no so.
Have you finished your Christmas shopping?,So woatotɔ Buronya ho nneɛma awie?
Let's see who wins!,Ma yɛnhwɛ wɔn a wobedi nkonim!
Are you interested in politics?,W'ani gye amanyɔsɛm ho?
"Come on, let's try it.",Momma yɛnkɔ so nsɔ nhwɛ.
They understood.,Wɔtee ase.
No words can express how amazing you are.,Nsɛmfua biara nni hɔ a ebetumi akyerɛ sɛnea wo ho yɛ nwonwa fa.
He is anything but a fool.,Ɔyɛ ɔkwasea ankasa.
"Hey, where are you going?","Nea ɛyɛ nwonwa no, ɛhe na worekɔ?"
All he wanted was time to finish his painting.,Nea na ɔhwehwɛ ara ne bere a ɔde bɛyɛ mfonini no awie.
I don't want to be your boyfriend.,Mempɛ sɛ meyɛ w'adamfo.
He will defeat them.,Ɔrenni wɔn so nkonim.
Where are we exactly?,Ɛhe ankasa na yɛwɔ?
He cut down a tree in his garden.,Obuu dua bi wɔ ne turo mu.
Kwasi could hear his name being called.,Kwasi tee sɛ wɔrebɔ ne din.
There were 30 members in all.,Ná wɔn nyinaa dodow yɛ 30.
I wonder where Kwasi is and who he's with.,Mintumi nhu baabi a Kwasi wɔ ne onii ko a ɔka ne ho.
How deep is the hole?,"Sɛ ɔda amoa no mu a, ɛkɔ akyiri kodu he?"
We have a great school library.,Yɛwɔ sukuu nhomakorabea kɛse bi.
"Lemon tea without sugar, please.","Sɛ asikre nni tii mu a, yɛsrɛ wo, tɔ wo bo ase."
Don't stay in Boston.,Nntra Boston.
She is beautiful.,Ne ho yɛ fɛ.
You should read books written in English.,Ɛsɛ sɛ wokenkan nhoma ahorow a ɛwɔ Engiresi kasa mu.
I called you three hours ago.,Mefrɛɛ wo nnɔnhwerew abiɛsa a atwam ni.
The day will soon come when we will be able to predict earthquakes.,"Ɛrenkyɛ biara, yebetumi ahyɛ asasewosow ho nkɔm."
May I speak to you in private?,So metumi ne wo akasa kokoam?
He got interested in the story.,N'ani gyee asɛm no ho.
Selena Gomez is of Mexican and Italian ancestry.,Selena Gomez fi Mexico ne Italy.
Kwasi used to write songs.,Ná Kwasi taa kyerɛw nnwom.
Why aren't you here?,Dɛn nti na wunni ha?
Kwasi came upstairs.,Kwasi baa abranaa no so.
Don't waste your money.,Nsɛe wo sika.
"As far as I know, he is not married.","Sɛnea minim no, ɔnwaree."
Kwasi did fifty sit-ups.,Kwasi traa ɔman no mu nnipa aduonum.
Franklin Roosevelt became president in 1933.,"Enti afe 1933 mu no, Franklin Roosevelt bɛyɛɛ Ɔmampanyin."
I can't figure out how to operate this machine.,Mintumi nhu ɔkwan a mɛfa so de afiri yi adi dwuma.
We still have the same problem.,Yɛda so ara wɔ ɔhaw koro no ara bi.
She was advised by him to go to the police.,Ɔka kyerɛɛ no sɛ ɔnkɔ polisifo nkyɛn.
"Compared to those around him, he looked really happy.","Sɛ yɛde no toto wɔn a na wɔatwa ne ho ahyia no ho a, na n'ani gye ankasa."
It's like a drug.,Ɛte sɛ aduru.
It's not going to rain tonight.,Nsu Ɛrentumi ntɔ anadwo.
Kwasi has a drawer full of USB cables.,YƐN ntade ayɛ Kwasi adaka mu ma.
I like President Obama.,Mepɛ Ɔmampanyin Obama.
Don't pull my leg!,Mfa me nan nsi fam!
I have no idea how it works.,Minnim sɛnea ɛyɛ adwuma fa.
We expect a very cold winter this year.,Yɛhwɛ kwan sɛ awɔw kɛse bɛba afe yi.
I'm not sad.,Me werɛ nhow.
She returned the book to the library.,Ɔsan de nhoma no kɔɔ nhomakorabea hɔ.
Everything happened very quickly and it was all very strange.,"Biribiara sii ntɛmntɛm, na na ɛyɛ nwonwa yiye."
He caused me to miss the bus.,Ɔmaa me werɛ fii bɔs no.
"I didn't need to do that, did I?",So na ɛho nhia sɛ meyɛ saa?
You must be Canadian.,Ɛsɛ sɛ woyɛ Canada.
Kwasi was bewildered by the change.,Nsakrae no maa Kwasi ho dwiriw no.
This place is beautiful.,Saa beae yi yɛ fɛ.
I'm not your son.,Menyɛ wo ba.
Don't make faces.,Mmu w'ani ngu so.
Kwasi is glad the school year is finally over.,Kwasi ani agye sukuu afe no awiei koraa.
It's been so many years.,Mfe pii ni.
I'll pay extra.,Metua ka pii aka ho.
I saw the students cleaning their classroom after school.,Mihui sɛ adesuafo no siesie wɔn sukuu dan mu bere a wɔawie sukuu no.
Thanks for sharing this with me.,Meda mo ase sɛ mo ne me kaa eyi kyerɛɛ me.
You can do whatever you like.,Wubetumi ayɛ nea wopɛ biara.
We ordered too much food.,Yɛmaa yɛn aduan pii.
I'd rather stay home this weekend.,Anka mɛkɔ so atra fie dapɛn yi ara.
Did you hear about Kwasi's promotion?,So wotee sɛ Kwasi rehyɛ Kwasi anuonyam?
Hunting is prohibited in national parks.,Wɔbara no wɔ ɔman agodibea ahorow.
We all love Kwasi.,Yɛn nyinaa ani gye Kwasi ho.
Kwasi has nothing to do with this.,Kwasi ne eyi nni hwee yɛ.
I suppose that she was happy then.,Misusuw sɛ n'ani gyei saa bere no.
Giraffes have very long necks.,Wɔn kɔn ware yiye.
Kwasi knows he can count on Abena.,Kwasi nim sɛ obetumi de ne ho ato Abena so.
"You don't speak French by any chance, do you?",So wuntumi nka Franse kasa no ɔkwan biara so?
Kwasi is still just as friendly as he used to be.,Kwasi da so ara yɛ obi a ɔpɛ nnipa te sɛ kan no ara pɛ.
"When Kwasi leaves at night, he turns on the burglar alarm.","Sɛ Kwasi fi adi anadwo a, ɔdan n'ani kyerɛ baabi foforo."
You can't go there.,Wuntumi nkɔ hɔ.
You are free to go.,Wowɔ hokwan sɛ wokɔ.
Her mother was busy cooking dinner.,Ná ne maame anoa aduan a onni adagyew.
We gladly accept your offer.,Yɛde anigye gye w'akyɛde no.
I bought it for you.,Metɔɔ maa wo.
Kwasi died in a plane crash.,Kwasi wui wɔ wimhyɛn akwanhyia bi mu.
Kwasi is going down the stairs.,Kwasi rekɔ atrapoe no so.
The snow melted in the sun.,sukyerɛmma tɔɔ owia mu.
Kwasi asked for a discount.,Kwasi bisae sɛ wɔmma no aduru bi a wɔde siw awo ano.
The princess disguised herself as a simple shepherdess.,Ɔhene babea no yɛɛ ne ho sɛ oguanhwɛfo kɛkɛ.
Kwasi doesn't trust strangers.,Kwasi nnye ahɔho nni.
We can depend on her to help us.,Yebetumi de yɛn ho ato no so ma waboa yɛn.
I am too short.,Meyɛ abofra dodo.
Are you able to solve it?,So wutumi di ho dwuma?
He shook thousands of hands.,Ɔsomaa nsa mpempem pii.
It is a little after a quarter to eleven.,Ɛyɛ bere a obi adi bɛyɛ mfe anan kosi anan akyi.
My shoes are bigger than yours.,Me mpaboa sõ sen wo de.
"I was able to find the street, but I couldn't find her house.","Mitumi huu kwan no, nanso manhu ne fie no."
I missed the bus.,M'ani gyinaa bɔs.
Is there anything for me?,So biribi wɔ hɔ ma me?
I hate myself and I want to die.,Metan me ho na mepɛ sɛ miwu.
Kwasi's car ran out of gas.,Mframa bɔne tɔɔ Kwasi kar no mu.
What age was she when she first drove a car?,"Bere a edi kan a otuu kar no, mfe bɛn na na wadi?"
I want you to stay with me.,Mepɛ sɛ wo ne me tena.
What prevented you from coming here yesterday?,Dɛn na amma woantumi amma ha Dwoda yi?
We could write a book.,Yetumi kyerɛw nhoma.
Kwasi couldn't find Abena even though he said he looked just about everywhere.,Kwasi antumi anhu Abena ɛmfa ho mpo sɛ ɔkae sɛ ɔhwɛ baabiara kɛkɛ no.
I know that you're a teacher.,Minim sɛ woyɛ ɔkyerɛkyerɛfo.
The supermarket was relatively empty for that time of day.,"Saa da no, na sotɔɔ ahorow no nni hwee yɛ."
I have difficulty concentrating.,Ɛyɛ den ma me sɛ mede m'adwene besi biribi so.
I soon learned how to swim.,Ankyɛ na mihuu sɛnea woguare nsu.
Kwasi wants to know what to do with all the stuff you left in his garage.,Kwasi pɛ sɛ ohu nea ɛsɛ sɛ ɔde nneɛma a wode guu ne dan mu no nyinaa yɛ.
What I have in my hand is a fossil seashell.,Nea mewɔ wɔ me nsam no yɛ ɛpo mu po mu po bi a wɔfrɛ nohell.
"I just shot someone, I think.",Misusuw sɛ metow obi tuo kɛkɛ.
"I don't know what Kwasi knows, but Kwasi knows what I know.","Minnim nea Kwasi nim, nanso Kwasi nim nea minim."
The sun doesn't shine at night.,Owia no nhyerɛn anadwo.
I did that all morning.,Meyɛɛ saa anɔpa mũ no nyinaa.
He wants to study music and dance.,Ɔpɛ sɛ osua nnwom ne asaw ho ade.
This book belongs to you.,Saa nhoma yi yɛ wo dea.
Tell me what you have in mind.,Ka nea ɛwɔ w'adwenem kyerɛ me.
He stayed up late last night.,Ɔtraa ase anadwo a etwa to no.
Kwasi has two choices.,Nneɛma abien bi wɔ Kwasi.
I am going to see him today.,Mɛma mahu no nnɛ.
He insulted me without reason.,Ɔyaw me kwa.
This book is too difficult for me to read.,Saa nhoma yi akenkan yɛ den dodo ma me.
It is in this room that our meeting will be held.,Ɛyɛ saa dan yi mu na yɛbɛyɛ yɛn nhyiam no.
Don't play dumb. I know you.,"Nyɛ mum, minim sɛ wowɔ hɔ."
The doors are shut.,Wɔtoo apon no mu.
How much longer will it take for the tub to fill?,Bere tenten bɛn na ebegye ansa na ntama no ayɛ ma?
That is her car.,Ɛno ne tiaseɛnam.
The girls are playing beach volleyball.,Mmeawa no redi agoru wɔ mpoano.
"Which shirt do you like more, the red one or the blue one?","Ntade kɔkɔɔ anaa bruu no, nea ɛwɔ he na wopɛ paa?"
"Better to die on our feet, than to live on our knees.",Eye sɛ yewu wɔ yɛn nan so sen sɛ yɛbɛtra yɛn nkotodwe so.
I can't tell you yet.,Mintumi nka nkyerɛ wo da.
Would you care for more cookies?,So wobɛhwɛ wo ho yiye?
It's fine.,Eyɛ.
The needs of the many outweigh the needs of the few.,Nnipa pii ahiade boro nnipa kakraa bi ahiade so.
"You have to do it, whether you like it or not.","Sɛ wopɛ oo, wompɛ oo, ɛsɛ sɛ woyɛ."
I feel like going to the movies.,M'ani gye ho sɛ mɛkɔ sini.
Our problems are nothing compared to Kwasi's.,"Sɛ yɛde yɛn haw toto Kwasi de no ho a, ɛnyɛ hwee."
I don't want to lose Abena.,Mempɛ sɛ mehweree Abena.
Kwasi's enthusiasm is contagious.,Anigye a Kwasi wɔ no ka koma.
You're kind of cute when you're mad.,"Sɛ wo bo fuw a, woyɛ basaa."
You're part of this.,Wo nso woka ho bi.
Do you want to go get something to eat?,So wopɛ sɛ wunya biribi di?
Do they live with you?,So wɔne wo te?
He hid behind the black car.,Ɔde ne ho hintaw kar tuntum no akyi.
He doesn't know what's going on.,Yennim nea ɛrekɔ so.
Neither team played well in the game.,Kuw no mu biara anni agoru no yiye.
I think he ate about 10 oysters.,Misusuw sɛ odii beysterfo bɛyɛ 10.
"The older I get, the more clearly I remember things that never happened.","Dodow a me mfe rekɔ anim no, dodow no ara na mekae nneɛma a amma saa da."
Kwasi believes me.,Kwasi gye me di.
It's working.,Ɛyɛ adwuma.
Kwasi abandoned the hope of becoming an actor.,Kwasi gyaw anidaso a ɛne sɛ ɔbɛyɛ oduruyɛfo no hɔ.
The old lady got down from the bus.,Ɔbea panyin no fii bɔs no mu hwee fam.
Were you busy yesterday?,So na wunni adagyew nnɛ?
It was not my intention.,Ná ɛnyɛ m'adwene ne no.
"Frankly speaking, I don't like you.","Nokwarem no, mempɛ w'asɛm."
They've got everything under control.,Wɔwɔ biribiara so tumi.
Ring the bell when you want me.,"Sɛ wopɛ a, bɔ dɔn no."
Kwasi told me to give you anything you want.,Kwasi ka kyerɛɛ me sɛ memfa biribiara a wopɛ mma wo.
Don't be so reserved.,Mma w'ani nnyɛ wo totɔtotɔ.
I forgot what I was going to say.,Me werɛ fii nea na mɛka no.
He has four children to provide for.,Ɔwɔ mma baanan a ɛsɛ sɛ ɔhwɛ wɔn.
It's just that I don't want to die today.,Ɛyɛ ade a mempɛ sɛ miwu nnɛ.
I'll be back soon.,Mɛsan aba nnansa yi ara.
He's completely crazy.,Wabɔ dam koraa.
She married him when she was 20.,Ɔwaree no bere a na wadi mfe 20.
We gather together every Friday.,Ná yehyiam Fida biara.
Abena was a waitress.,Ná Abena yɛ obi a onim akenkan ne akyerɛw yiye.
It's difficult to get the car going on cold mornings.,Ɛyɛ den sɛ wubenya kar no anɔpa a wim ayɛ nwini.
There isn't a grain of truth in what he says.,Nokwasɛm biara nni nea ɔka no mu.
She did it against her will.,Ɔyɛɛ saa a na ɔmpɛ.
He could speak French.,Ná otumi ka Franse kasa.
This is a stressful situation.,Eyi yɛ tebea a emu yɛ den.
She had no sooner read his letter than she tore it up.,Ntɛm ara na ɔkenkan ne krataa no sen sɛnea na ɛsɛ sɛ ɔkenkan.
The meeting lasted until 5.,Nhyiam no kɔɔ so ara kosii 5
I had no doubt that Kwasi would do what we asked.,Ná minim yiye sɛ Kwasi bɛyɛ nea yebisae no.
Your assistance is indispensable for us.,Ɛho hia sɛ yɛboa yɛn.
I don't believe in fairy tales.,Minni anansesɛm mu gyidi biara.
She was made to wait for over an hour.,Wɔmaa ɔtwɛn boroo dɔnhwerew biako.
I love it.,M'ani gye ho.
Their house is far from the station.,Wɔn fie no mmɛn keteke gyinabea no koraa.
We discussed our plans for the summer holidays.,Yesusuw nhyehyɛe a yɛyɛe sɛ yebedi ahohuru bere mu nnapɔnna no ho.
The war began three years later.,Ɔko no fii ase mfe abiɛsa akyi.
The prize will go to the best student.,Nkonim bo no bɛkɔ osuani a ɔsen biara no nkyɛn.
Kwame has long hair and wears glasses.,"Afei nso, na ne ti nhwi ware, na na n'atade nso yɛ soro atade."
Kwame doesn't believe anything Abena says.,"Nanso, biribiara nni hɔ a Abena ka a ɛkyerɛ sɛ onnye nni."
The market is big.,Aguadi no dɔɔso.
I don't want to cause any more trouble.,Mempɛ sɛ mede ɔhaw biara ba bio.
It seems likely.,Ebetumi aba saa.
Are you going to sit with me?,So wo ne me bɛtra?
It would be stupid to say yes.,Ɛbɛyɛ nea nyansa nnim sɛ wobɛka sɛ yiw.
Thunder indicates that a storm is near.,Tison kyerɛ sɛ ahum bi abɛn.
Could I borrow a pencil?,So na metumi atɔn pɛnsere?
He had reached the limits of his patience.,Ná wanya abotare akosi ase.
We can pay 200 dollars at most.,Yebetumi atua dɔla 200.
This boy gives us a lot of trouble.,Abarimaa yi de ɔhaw pii brɛ yɛn.
I hope Kwame gets here on time.,Mehwɛ kwan sɛ kwame bɛdu ha sɛseɛ.
Honesty will pay in the long run.,"Awiei koraa no, nokwaredi so bɛba mfaso."
I'm in Portugal.,Mewɔ Portugal.
Let's hope Kwame doesn't walk in.,Mommma yɛn hwɛ sɛɛ Kwame ɔre mmba ha.
I enjoyed myself at the party last night.,Ná m'ani gye wɔ apontow no ase anadwo a etwaam no.
I will answer within three days.,Mɛyi ano nnansa ntam.
We shouldn't have come.,Ɛnsɛ sɛ ɛba saa.
I'm very fat.,Meyɛ kɛse ankasa.
I take it for granted that people are honest.,Mibu no sɛ nkurɔfo di nokware.
That was probably what influenced their decision.,Ɛbɛyɛ sɛ ɛno na enyaa wɔn gyinaesi no so nkɛntɛnso.
Coffee prices have jumped almost 50% in six months.,"Wɔ asram asia mu no, nneɛma bo akɔ soro bɛyɛ dɔla 50."
The man lost his way in the woods.,Ɔbarima no hweree ne kwan wɔ wuram.
We played baseball yesterday.,Yɛbɔɔ baseball ɔsram biara.
When will he come?,Bere bɛn na ɔbɛba?
I like fruit.,M'ani gye nnuaba ho.
What other choice did I have?,Gyinae foforo bɛn na misii?
Kwame is complaining to the manager.,Wɔde asɛm no kɔdan adwumam panyin no.
I know what has happened.,Minim nea asi.
I don't trust you anymore.,Minni wo mu ahotoso bio.
Kwame asked Abena who had given her the picture.,"Bere bi a atwam no, kwame bɛsaa Abena sɛɛ hena na wodɛ nfoni kyerɛɛ no."
This was the most interesting book that she had ever read.,Ná eyi ne nhoma a ɛyɛ anigye sen biara a wakenkan pɛn.
I know her well.,Minim no yiye.
Kwame didn't know when Abena was planning to go to Boston.,"Bere a Abena pɛe sɛ ɔkɔ Boston no, na kwame nnim."
"Give me a drink, please.","Mesrɛ wo, ma me bi nnom."
I have to go even if it rains.,"Sɛ osu tɔ mpo a, ɛsɛ sɛ mekɔ."
"Thanks to him, I could get a job.","Ne nti, na mitumi nya adwuma."
Everyone smiles in the same language.,Obiara de kasa koro serew.
Kwame left the house shortly after Abena left.,Bere a Abena fii fie hɔ bere tiaa bi akyi na Kwame nso fii fie.
That's enough for today. I'm tired.,"Ɛno ara dɔɔso nnɛ, na mabrɛ."
I'd prefer to die rather than see you crying.,Mepɛ sɛ miwu mmom sen sɛ mehu sɛ woresu.
He shared his soup with me.,Ɔne me kyɛɛ n' nkwan no.
You must live up to your principles.,Ɛsɛ sɛ wode wo nnyinasosɛm bɔ wo bra.
Felicja likes to watch TV.,Felicia pɛ TV hwɛ.
People laughed at him.,Nkurɔfo serew no.
I thought for a moment Kwame was really going to tell Abena about what happened.,"Misusuw ho bere tiaa bi mu no, na metaa ka nea esii no kyerɛ Abena."
He stood with his hands in his pockets.,Ɔde ne nsa too ne kotoku mu.
I'd rather not go out today.,Merenyɛ saa nnɛ.
The plan announced Tuesday calls for $54 billion in tax cuts.,Nhyehyɛe a wɔde too gua Benada no hwehwɛ sɛ wotua tow dɔla ɔpepepem 54.
The one who has everything can lose everything.,Nea ɔwɔ biribiara no betumi ahwere biribiara.
I can give you something for your pain.,Metumi de biribi ama wo wɔ ɛyaw a wudi no ho.
Kwame looks terrified.,"Afei de, Kwame ho adwiriw no."
Take an aspirin.,Fa aduru a wɔde di dwuma ɔkwammɔne so.
He must have been home then.,Ɛbɛyɛ sɛ saa bere no na ɔwɔ fie.
Where is the mailbox?,Ɛhe na abodoo ne bobesa no wɔ?
You are responsible for what you have done.,Nea woayɛ no ho asodi da wo so.
I don't know how old Kwame is now.,Seesei minnim mfe dodow a Kwame adɛ.
I've never met anyone like you before.,Minhuu obiara a ɔte sɛ wo da.
Sometimes you don't need to speak the same language in order to understand each other.,Ɛtɔ mmere bi a ɛho nhia sɛ woka kasa koro ansa na woate mo ho mo ho ase.
"Up to now, we've never had this problem.","Ɛde besi nnɛ no, saa ɔhaw yi mmaa yɛn so da."
He is very good at playing violin.,Ɔbɔ sanku yiye.
"Thanks for the advice, Kwame.","Esiane afotu no nti, medawasɛ Kwame."
We have been studying English for three years.,Yɛde mfe abiɛsa asua Engiresi kasa.
